Serial No.;GRE Score;TOEFL Score;University Rating;SOP;LOR ;CGPA;Research;Chance of Admit 
9;302;102;1;2;1.5;8;0;0.5
29;295;93;1;2;2;7.2;0;0.46
38;300;105;1;1;2;7.8;0;0.58
39;304;105;1;3;1.5;7.5;0;0.52
59;300;99;1;3;2;6.8;1;0.36
80;294;93;1;1.5;2;7.36;0;0.46
140;318;109;1;3.5;3.5;9.12;0;0.78
160;297;100;1;1.5;2;7.9;0;0.52
161;315;103;1;1.5;2;7.86;0;0.57
162;298;99;1;1.5;3;7.46;0;0.53
240;299;100;1;1.5;2;7.89;0;0.59
241;296;101;1;2.5;3;7.68;0;0.6
273;294;95;1;1.5;1.5;7.64;0;0.49
274;312;99;1;1;1.5;8.01;1;0.52
275;315;100;1;2;2.5;7.95;0;0.58
294;312;98;1;3.5;3;8.18;1;0.64
318;300;99;1;1;2.5;8.01;0;0.58
346;316;98;1;1.5;2;7.43;0;0.49
348;299;94;1;1;1;7.34;0;0.42
349;302;99;1;2;2;7.25;0;0.57
368;311;98;1;1;2.5;7.46;0;0.57
369;298;92;1;2;2;7.88;0;0.51
370;301;98;1;2;3;8.03;1;0.67
378;290;100;1;1.5;2;7.56;0;0.47
379;303;98;1;2;2.5;7.65;0;0.56
380;311;99;1;2.5;3;8.43;1;0.71
410;300;98;1;2;2.5;8.02;0;0.61
411;301;96;1;3;4;7.56;0;0.54
437;310;110;1;1.5;4;7.23;1;0.58
438;317;106;1;1.5;3.5;7.65;1;0.61
439;318;110;1;2.5;3.5;8.54;1;0.67
442;332;112;1;1.5;3;8.66;1;0.79
458;295;99;1;2;1.5;7.57;0;0.37
459;312;100;1;3;3;8.53;1;0.69
5;314;103;2;2;3;8.21;0;0.65
8;308;101;2;3;4;7.9;0;0.68
28;298;98;2;1.5;2.5;7.5;1;0.44
30;310;99;2;1.5;2;7.3;0;0.54
31;300;97;2;3;3;8.1;1;0.65
37;299;106;2;4;4;8.4;0;0.64
40;307;108;2;4;3.5;7.7;0;0.48
42;316;105;2;2.5;2.5;8.2;1;0.49
43;313;107;2;2.5;2;8.5;1;0.53
52;312;100;2;1.5;3.5;7.9;1;0.56
58;298;99;2;4;2;7.6;0;0.46
60;311;104;2;2;2;8.3;0;0.42
61;309;100;2;3;3;8.1;0;0.48
63;304;105;2;3;3;8.2;1;0.54
64;315;107;2;4;3;8.5;1;0.56
68;316;107;2;3.5;3.5;8.64;1;0.57
76;329;114;2;2;4;8.56;1;0.72
